duration_us,image_q,observable,predeclared_sequence_count,supported_count,unsupported_count,mean,mean_error_or_bias,sd,q16,median,q84,optimizer_failure_count,residual_failure_count,active_physical_bound_count
100,5,eta,64,64,0,-0.04186032942608537,0.003607101195120803,0.023861270619133366,-0.0640370176246595,-0.04150641169588881,-0.021145715096767,0,0,0
100,5,rho_y,64,64,0,-0.00636822035667225,0.002895315538563958,0.02222718002962626,-0.028631360502770566,-0.004854293093354722,0.01468717540613365,0,0,0
100,6,eta,64,64,0,-0.053665840051121474,0.0030424969196375783,0.026293489028479528,-0.08286879702411043,-0.052065847392785414,-0.029179444538897554,0,0,0
100,6,rho_y,64,64,0,-0.009724895881542158,0.0018831571721754353,0.02156314135797569,-0.03068521613228786,-0.007198978479959761,0.011679819278047196,0,0,0
100,7,eta,64,64,0,-0.06507420801580971,0.002824811458783376,0.02756978371641144,-0.09145334213467264,-0.06400554898869693,-0.04260841470883327,0,0,0
100,7,rho_y,64,64,0,-0.01253686213048964,0.0014275363995855002,0.02348639837580939,-0.03387943362710519,-0.013064742054487155,0.007346314940606748,0,0,0
100,8,eta,64,64,0,-0.07704180774996844,0.001998303297326153,0.02503670709436081,-0.10519201666347021,-0.07467705643197597,-0.05282890534507306,0,0,0
100,8,rho_y,64,64,0,-0.016782385826887347,-0.00044947536500344713,0.018957116785962114,-0.03403750284750961,-0.018295057434878692,0.0009606966277237784,0,0,0
100,9,eta,64,64,0,-0.087679196046731,0.002451992853916651,0.022871828429600435,-0.11439344659441443,-0.0876573053076955,-0.060364245002522035,0,0,0
100,9,rho_y,64,64,0,-0.01691319053391343,0.0018004708935626737,0.02117240355295497,-0.036703738035627965,-0.01942316348476908,0.0056263445792869024,0,0,0
100,10,eta,64,64,0,-0.10174734071986434,-0.0005751761795784616,0.02981053198036015,-0.13136905379460734,-0.10194896578514545,-0.07258174142168913,0,0,0
100,10,rho_y,64,64,0,-0.02478037699679344,-0.0036735537459545373,0.026361028525057874,-0.05178321332908365,-0.02554868818790562,0.0007389835762914604,0,0,0
100,11,eta,64,64,0,-0.11276623999063468,-0.0006029531022320699,0.026936636727083515,-0.14215741180776564,-0.11239244028308254,-0.08359169163305584,0,0,0
100,11,rho_y,64,64,0,-0.022155884547830944,0.0013567688184824185,0.024810121484411318,-0.04711391615279101,-0.02073901203649242,0.0005731090052644672,0,0,0
100,12,eta,64,64,0,-0.12008476736773421,0.0030199196394030715,0.02569504388637578,-0.148969584625404,-0.12022678068766368,-0.09206451747900592,0,0,0
100,12,rho_y,64,64,0,-0.028395915907426284,-0.0024645133946970994,0.026959219746877015,-0.05651440593685846,-0.028496005137188807,0.00045988876922644305,0,0,0
100,13,eta,64,64,0,-0.12669281432378887,0.007303646044372506,0.02857074746298286,-0.15689554109457718,-0.12553401534367664,-0.09635290731999928,0,0,0
100,13,rho_y,64,64,0,-0.024490941512196565,0.0038723144542590487,0.024979833625925017,-0.049807273699702434,-0.025423685791726824,-0.0005429308418922323,0,0,0
100,14,eta,64,64,0,-0.1450768439313653,-0.00023816240847982645,0.030213566404743732,-0.17425432218833495,-0.1490115542154249,-0.11100209328927815,0,0,0
100,14,rho_y,64,64,0,-0.03341702834761245,-0.002608556362717446,0.02194979054130304,-0.05319573975594644,-0.03501381806342202,-0.0072636029030105215,0,0,0
100,15,eta,64,64,0,-0.15566549361550347,-3.3171130372756236e-05,0.027400242924417586,-0.18609768563393989,-0.1602263823800737,-0.12218444632894719,0,0,0
100,15,rho_y,64,64,0,-0.03400897033775789,-0.0007414642539625323,0.023984801032244665,-0.05655801313110808,-0.038320937895762186,-0.013837806392050888,0,0,0
150,1,eta,64,64,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
150,1,rho_y,64,64,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
150,2,eta,64,64,0,-0.013451880614888617,0.0036928998032653097,0.021069214591360932,-0.03442206368876699,-0.01376490889980675,0.0032655041227995147,0,0,0
150,2,rho_y,64,64,0,-0.003077890894941121,0.0003748325661450391,0.021007934629365448,-0.021590691548514843,-0.004242290541462801,0.017862853214849362,0,0,0
150,3,eta,64,64,0,-0.03640280098513743,-0.0022267857815046494,0.020976773556065947,-0.060729691399838616,-0.0361891668644676,-0.020197177075276112,0,0,0
150,3,rho_y,64,64,0,-0.010686320702758484,-0.003755707574162598,0.020025575399255844,-0.03331927349932461,-0.010939683407099943,0.006891033648315249,0,0,0
150,4,eta,64,64,0,-0.05080332585823003,0.00029084742100123594,0.022386642813811954,-0.07174760583231805,-0.05112696314617321,-0.02795803975589979,0,0,0
150,4,rho_y,64,64,0,-0.014727592726243594,-0.0042932643098408,0.020318197375035627,-0.034613999234646774,-0.017367875962318702,0.008294599205558357,0,0,0
150,5,eta,64,64,0,-0.0689382996144747,-0.0010392801398816098,0.02186488904253266,-0.08749073933742646,-0.06731691594397321,-0.05129674514711056,0,0,0
150,5,rho_y,64,64,0,-0.020013115103327008,-0.006048716573251869,0.0207801309935862,-0.04147007785444341,-0.01913880998286166,0.00036694605961940457,0,0,0
150,6,eta,64,64,0,-0.082523901939095,0.002068037571987553,0.022267253680677543,-0.10296207913062477,-0.08310786724656921,-0.06307975002086515,0,0,0
150,6,rho_y,64,64,0,-0.018269996808755157,-0.0007482464356027545,0.020703178813554844,-0.03947162614106739,-0.020510407803540798,0.004322354004090422,0,0,0
150,7,eta,64,64,0,-0.10409888951442615,-0.0029267249741402775,0.0232365163281993,-0.12539410678639915,-0.1017848876510245,-0.08063573381446378,0,0,0
150,7,rho_y,64,64,0,-0.024266762595585065,-0.003159939344746161,0.0222212843387653,-0.044925146269611076,-0.023407542998530262,-7.81654470297611e-05,0,0,0
150,8,eta,64,64,0,-0.1192035351201165,-0.0015633394843085433,0.022627841371580713,-0.14317706329453636,-0.11786924277830751,-0.09730828877960476,0,0,0
150,8,rho_y,64,64,0,-0.024415296455612558,0.00030509707052430585,0.019531635910843975,-0.047076007583428656,-0.025795792164323372,-0.0035536765836322896,0,0,0
150,9,eta,64,64,0,-0.13391110568754966,8.535468061171905e-05,0.025876692659409603,-0.15806104954546443,-0.136035454433241,-0.10834923071557043,0,0,0
150,9,rho_y,64,64,0,-0.032063592068490285,-0.003700336102034671,0.021035481178780985,-0.050068969671970304,-0.0307657872342863,-0.013195505741419767,0,0,0
150,10,eta,64,64,0,-0.14794386238305113,0.002297862593183644,0.019897205980340563,-0.16638673301319148,-0.1448573213916028,-0.13261455663404087,0,0,0
150,10,rho_y,64,64,0,-0.032425676341018055,-0.00038939319241454093,0.02033646185265337,-0.05130357711820992,-0.03348832922918943,-0.013899100410511274,0,0,0
150,11,eta,64,64,0,-0.16727981185564558,-0.0009037883056011217,0.0214991355763962,-0.18780642040391674,-0.16827052542293974,-0.14647581463655543,0,0,0
150,11,rho_y,64,64,0,-0.03707646367308641,-0.0013362235737353484,0.024790047375654652,-0.0627290633236589,-0.03800399247776742,-0.01030008762830253,0,0,0
