duration_us,method,draw_id,role,image_q,seed
25,dpfi,6,atom_h,3,20260818:4515:25:2:6:1:3
25,dpfi,6,atom_v,3,20260818:4515:25:2:6:2:3
25,dpfi,6,atom_h,4,20260818:4515:25:2:6:1:4
25,dpfi,6,atom_v,4,20260818:4515:25:2:6:2:4
25,dpfi,6,atom_h,5,20260818:4515:25:2:6:1:5
25,dpfi,6,atom_v,5,20260818:4515:25:2:6:2:5
25,dpfi,6,atom_h,6,20260818:4515:25:2:6:1:6
25,dpfi,6,atom_v,6,20260818:4515:25:2:6:2:6
25,dpfi,6,atom_h,7,20260818:4515:25:2:6:1:7
25,dpfi,6,atom_v,7,20260818:4515:25:2:6:2:7
25,dpfi,6,atom_h,8,20260818:4515:25:2:6:1:8
25,dpfi,6,atom_v,8,20260818:4515:25:2:6:2:8
25,dpfi,6,atom_h,9,20260818:4515:25:2:6:1:9
25,dpfi,6,atom_v,9,20260818:4515:25:2:6:2:9
25,dpfi,6,atom_h,10,20260818:4515:25:2:6:1:10
25,dpfi,6,atom_v,10,20260818:4515:25:2:6:2:10
25,dpfi,6,atom_h,11,20260818:4515:25:2:6:1:11
25,dpfi,6,atom_v,11,20260818:4515:25:2:6:2:11
25,dpfi,6,atom_h,12,20260818:4515:25:2:6:1:12
25,dpfi,6,atom_v,12,20260818:4515:25:2:6:2:12
25,dpfi,6,atom_h,13,20260818:4515:25:2:6:1:13
25,dpfi,6,atom_v,13,20260818:4515:25:2:6:2:13
25,dpfi,6,atom_h,14,20260818:4515:25:2:6:1:14
25,dpfi,6,atom_v,14,20260818:4515:25:2:6:2:14
25,dpfi,6,atom_h,15,20260818:4515:25:2:6:1:15
25,dpfi,6,atom_v,15,20260818:4515:25:2:6:2:15
25,dpfi,7,blank_h,0,20260818:4515:25:2:7:3:0
25,dpfi,7,blank_v,0,20260818:4515:25:2:7:4:0
25,dpfi,7,dark_h,0,20260818:4515:25:2:7:5:0
25,dpfi,7,dark_v,0,20260818:4515:25:2:7:6:0
25,dpfi,7,atom_h,1,20260818:4515:25:2:7:1:1
25,dpfi,7,atom_v,1,20260818:4515:25:2:7:2:1
25,dpfi,7,atom_h,2,20260818:4515:25:2:7:1:2
25,dpfi,7,atom_v,2,20260818:4515:25:2:7:2:2
25,dpfi,7,atom_h,3,20260818:4515:25:2:7:1:3
25,dpfi,7,atom_v,3,20260818:4515:25:2:7:2:3
25,dpfi,7,atom_h,4,20260818:4515:25:2:7:1:4
25,dpfi,7,atom_v,4,20260818:4515:25:2:7:2:4
25,dpfi,7,atom_h,5,20260818:4515:25:2:7:1:5
25,dpfi,7,atom_v,5,20260818:4515:25:2:7:2:5
25,dpfi,7,atom_h,6,20260818:4515:25:2:7:1:6
25,dpfi,7,atom_v,6,20260818:4515:25:2:7:2:6
25,dpfi,7,atom_h,7,20260818:4515:25:2:7:1:7
25,dpfi,7,atom_v,7,20260818:4515:25:2:7:2:7
25,dpfi,7,atom_h,8,20260818:4515:25:2:7:1:8
25,dpfi,7,atom_v,8,20260818:4515:25:2:7:2:8
25,dpfi,7,atom_h,9,20260818:4515:25:2:7:1:9
25,dpfi,7,atom_v,9,20260818:4515:25:2:7:2:9
25,dpfi,7,atom_h,10,20260818:4515:25:2:7:1:10
25,dpfi,7,atom_v,10,20260818:4515:25:2:7:2:10
25,dpfi,7,atom_h,11,20260818:4515:25:2:7:1:11
25,dpfi,7,atom_v,11,20260818:4515:25:2:7:2:11
25,dpfi,7,atom_h,12,20260818:4515:25:2:7:1:12
25,dpfi,7,atom_v,12,20260818:4515:25:2:7:2:12
25,dpfi,7,atom_h,13,20260818:4515:25:2:7:1:13
25,dpfi,7,atom_v,13,20260818:4515:25:2:7:2:13
25,dpfi,7,atom_h,14,20260818:4515:25:2:7:1:14
25,dpfi,7,atom_v,14,20260818:4515:25:2:7:2:14
25,dpfi,7,atom_h,15,20260818:4515:25:2:7:1:15
25,dpfi,7,atom_v,15,20260818:4515:25:2:7:2:15
25,dpfi,8,blank_h,0,20260818:4515:25:2:8:3:0
25,dpfi,8,blank_v,0,20260818:4515:25:2:8:4:0
25,dpfi,8,dark_h,0,20260818:4515:25:2:8:5:0
25,dpfi,8,dark_v,0,20260818:4515:25:2:8:6:0
25,dpfi,8,atom_h,1,20260818:4515:25:2:8:1:1
25,dpfi,8,atom_v,1,20260818:4515:25:2:8:2:1
25,dpfi,8,atom_h,2,20260818:4515:25:2:8:1:2
25,dpfi,8,atom_v,2,20260818:4515:25:2:8:2:2
25,dpfi,8,atom_h,3,20260818:4515:25:2:8:1:3
25,dpfi,8,atom_v,3,20260818:4515:25:2:8:2:3
25,dpfi,8,atom_h,4,20260818:4515:25:2:8:1:4
25,dpfi,8,atom_v,4,20260818:4515:25:2:8:2:4
25,dpfi,8,atom_h,5,20260818:4515:25:2:8:1:5
25,dpfi,8,atom_v,5,20260818:4515:25:2:8:2:5
25,dpfi,8,atom_h,6,20260818:4515:25:2:8:1:6
25,dpfi,8,atom_v,6,20260818:4515:25:2:8:2:6
25,dpfi,8,atom_h,7,20260818:4515:25:2:8:1:7
25,dpfi,8,atom_v,7,20260818:4515:25:2:8:2:7
25,dpfi,8,atom_h,8,20260818:4515:25:2:8:1:8
25,dpfi,8,atom_v,8,20260818:4515:25:2:8:2:8
25,dpfi,8,atom_h,9,20260818:4515:25:2:8:1:9
25,dpfi,8,atom_v,9,20260818:4515:25:2:8:2:9
25,dpfi,8,atom_h,10,20260818:4515:25:2:8:1:10
25,dpfi,8,atom_v,10,20260818:4515:25:2:8:2:10
25,dpfi,8,atom_h,11,20260818:4515:25:2:8:1:11
25,dpfi,8,atom_v,11,20260818:4515:25:2:8:2:11
25,dpfi,8,atom_h,12,20260818:4515:25:2:8:1:12
25,dpfi,8,atom_v,12,20260818:4515:25:2:8:2:12
25,dpfi,8,atom_h,13,20260818:4515:25:2:8:1:13
25,dpfi,8,atom_v,13,20260818:4515:25:2:8:2:13
25,dpfi,8,atom_h,14,20260818:4515:25:2:8:1:14
25,dpfi,8,atom_v,14,20260818:4515:25:2:8:2:14
25,dpfi,8,atom_h,15,20260818:4515:25:2:8:1:15
