duration_us,draw_id,image_q,truth_eta,truth_rho_y,truth_condensate_atoms,truth_radius_y_um,whole_image_template_snr,scattered_photons_per_atom_per_pulse,deposited_energy_per_pulse_j,cumulative_deposited_energy_before_image_j,selected_start_id,converged_start_count,optimizer_failure,residual_failure,eta_hat,rho_y_hat,y0_hat_um,eta_error,rho_y_error,eta_conditional_sd,rho_y_conditional_sd,eta_supported,rho_y_supported,eta_support_reason,rho_y_support_reason,active_physical_bounds,active_nuisance_bounds,raw_objective,reduced_raw_objective,maximum_absolute_whitened_residual
300,63,6,0.8336239764499556,0.9642597599006489,42265.648157205644,14.128542928162402,86.01334376448034,0.010046446383986262,2.1636665592381415e-26,1.081833279619071e-25,0,5,false,false,0.8430357245178941,0.9787049955121033,0.015649754757726092,0.009411748067938541,0.014445235611454388,0.011437602450808547,0.011483174350394589,true,true,supported,supported,0,1,7326.703598514026,1.0116961610762256,4.225578545820129
300,63,7,0.801689871048849,0.9567561743492958,40646.5540557546,14.018598766862592,83.67003089860964,0.010046446383986262,2.1636665592381415e-26,1.2981999355428848e-25,1,5,false,false,0.801838615159704,0.9600706712989712,-0.06522672427971267,0.0001487441108549703,0.0033144969496753385,0.011261289264494713,0.01168551288348286,true,true,supported,supported,0,1,7309.7040912654975,1.0093488112766498,4.225578545820165
300,63,8,0.7701995429238506,0.9491189594827433,39049.95994799618,13.906696639883027,81.31662443847958,0.010046446383986262,2.1636665592381415e-26,1.5145665914666993e-25,1,5,false,false,0.7590738761189012,0.9329424981407658,-0.01859438878377452,-0.011125666804949419,-0.016176461341977477,0.011042579574394048,0.01179111529523857,true,true,supported,supported,0,1,7390.294727572837,1.020477040537536,4.2255785458201665
300,63,9,0.7391507710576983,0.9413402057589554,37475.75322592391,13.792720654900036,78.95390951674942,0.010046446383986262,2.1636665592381415e-26,1.7309332473905132e-25,3,5,false,false,0.7457803552342868,0.9358079858143932,0.02588089823153904,0.006629584176588432,-0.005532219944562211,0.011035005496814541,0.012028729447258022,true,true,supported,supported,0,1,7276.690558702603,1.0047901903759462,4.2255785458201665
300,63,10,0.7085470351310749,0.9334127548310087,35924.11031315753,13.676565926263494,76.58238227202062,0.010046446383986262,2.1636665592381415e-26,1.9472999033143275e-25,1,5,false,false,0.723283821944004,0.9345560512616883,-0.05579190122806325,0.014736786812929115,0.0011432964306795634,0.011003619215671645,0.012356119040776893,true,true,supported,supported,0,1,7274.4908036185925,1.0044864407095544,4.2255785458201665
300,63,11,0.6783855379254141,0.9253271603625131,34394.88938765368,13.558094044205879,74.20175105628273,0.010046446383986262,2.1636665592381415e-26,2.163666559238142e-25,1,5,false,false,0.6716010773102024,0.9345222083050269,0.018926956028064185,-0.006784460615211763,0.009195047942513801,0.010941892810773594,0.013243369004792706,true,true,supported,supported,0,1,7437.2644123617265,1.026962774421669,4.2255785458201665
300,63,12,0.6486691580278677,0.9170745537278348,32888.23639693209,13.437175063702842,71.8120869741261,0.010046446383986262,2.1636665592381415e-26,2.380033215161956e-25,1,5,false,false,0.6527611162413246,0.9241169146126137,0.18518107538117262,0.00409195821345687,0.007042360884778942,0.010841787316548902,0.01337082719968723,true,true,supported,supported,0,1,7285.195262224814,1.0059645487744842,4.2255785458201665
300,63,13,0.6194010516308507,0.9086453083192979,31404.3113634032,13.313667933612917,69.41450200596029,0.010046446383986262,2.1636665592381415e-26,2.5963998710857695e-25,2,5,false,false,0.6170471045871657,0.9105081155137377,-0.08289130882506271,-0.0023539470436849674,0.001862807194439764,0.010698715817576787,0.013773085587156304,true,true,supported,supported,0,1,7315.710448189621,1.0101781894766115,4.225578545820166
300,63,14,0.590584502870266,0.9000287976533308,29943.280796352385,13.187416952396374,67.00982204420495,0.010046446383986262,2.1636665592381415e-26,2.8127665270095845e-25,3,5,false,false,0.5834328898195191,0.8991476779867024,0.12268091408018447,-0.007151613050746852,-0.0008811196666284049,0.010582411246685179,0.014249868149161973,true,true,supported,supported,0,1,7382.491763914989,1.0193995807670517,4.2255785458201665
300,63,15,0.562222327295841,0.8912132156474689,28505.287447232946,13.058249134774918,64.59812824923424,0.010046446383986262,2.1636665592381415e-26,3.0291331829333986e-25,3,5,false,false,0.5735827466745494,0.9081879795873284,0.2364853437082211,0.011360419378708464,0.016974763939859527,0.010620879115057682,0.01468781495094447,true,true,supported,supported,0,1,7264.082718277312,1.0030492568734206,4.2255785458201665
350,0,1,1.0,1.0,50701.094679638154,14.652216669933539,105.4411652372461,0.01172085411465064,2.524277652444499e-26,0.0,3,5,false,false,1.015522701680255,1.0085051231180207,-0.052842295564898493,0.015522701680255047,0.008505123118020652,0.010938174704038121,0.00935771230101431,true,true,supported,supported,0,0,7127.390250026421,0.9841742957782962,4.615244075171935
350,0,2,0.9601719341388688,0.9919043651751839,48681.76814150608,14.533597674399674,102.54967590539293,0.01172085411465064,2.524277652444499e-26,2.524277652444499e-26,3,5,false,false,0.9646508719602325,0.9884260100443198,-0.10230231957809653,0.00447893782136366,-0.0034783551308640304,0.010764790258379084,0.009521509569709968,true,true,supported,supported,0,0,7124.593181532728,0.983788067044011,4.615492534042831
350,0,3,0.9209598889527054,0.9836670895381161,46693.67452594016,14.412903326995393,99.64261306236929,0.01172085411465064,2.524277652444499e-26,5.048555304888998e-26,3,5,false,false,0.9339202576982244,0.9980507485368564,0.1541086982965395,0.01296036874551898,0.014383658998740279,0.010797432857230137,0.009957706853850974,true,true,supported,supported,0,0,7183.515690846398,0.9919242876065172,4.615170187793359
350,0,4,0.882359804364192,0.9752796064738631,44736.6079825759,14.29000810782256,96.72086601435608,0.01172085411465064,2.524277652444499e-26,7.572832957333497e-26,1,5,false,false,0.8897031808895235,0.977696452812957,-0.006273731384044545,0.007343376525331458,0.002416846339093892,0.010622869318156748,0.010093326183992824,true,true,supported,supported,0,0,7102.420736003428,0.9807264203263502,4.613828805260578
