duration_us,draw_id,image_q,delta_eta_q_given_1,delta_rho_y_q_given_1,truth_delta_eta_q_given_1,truth_delta_rho_y_q_given_1,eta_pair_supported,rho_y_pair_supported,eta_pair_reason,rho_y_pair_reason
25,3,7,-0.006729216123478876,-0.06663357995138408,-0.017144780418153927,-0.00345272346108616,true,true,supported,supported
25,3,8,0.004020162824228568,0.0016053279366015083,-0.019991169663249653,-0.004030593673255312,true,true,supported,supported
25,3,9,0.01080930811599723,0.04821400067080761,-0.022834405935228896,-0.004609178441481565,true,true,supported,supported
25,3,10,-0.10413183312995922,0.016937735974344337,-0.025674479936079075,-0.005188451246219361,true,true,supported,supported
25,3,11,-0.07036363137976887,-0.03175428164887184,-0.0285113990229805,-0.005768449218922389,true,true,supported,supported
25,3,12,-0.05309248407905509,-0.014623025878312879,-0.03134516601585047,-0.006349160963455169,true,true,supported,supported
25,3,13,-0.09226867370050373,-0.024029285880016182,-0.03417601520363278,-0.006930613128595886,true,true,supported,supported
25,3,14,-0.04309530247714577,0.013817743939404492,-0.037003634162659726,-0.007512768077172716,true,true,supported,supported
25,3,15,-0.07711380037438886,0.01710432769950554,-0.03982806586113119,-0.008095634824816123,true,true,supported,supported
25,4,1,0.0,0.0,0.0,0.0,true,true,supported,supported
25,4,2,0.052260933697570344,-0.008988310103575703,-0.0028653850287652105,-0.0005737431088805867,true,true,supported,supported
25,4,3,-0.0326809481765129,0.016868677822473144,-0.005727598353157504,-0.0011481631107591594,true,true,supported,supported
25,4,4,0.06676689547446402,0.037707877143463575,-0.008586642042826997,-0.0017232710691525988,true,true,supported,supported
25,4,5,-0.041798349551257497,-0.04202097166782326,-0.01144251922178463,-0.0022990596478537073,true,true,supported,supported
25,4,6,-0.02313844862966219,-0.015144788005985954,-0.014295232358622956,-0.0028755300241831705,true,true,supported,supported
25,4,7,0.011539942485781496,-0.005826867220083187,-0.017144780418153927,-0.00345272346108616,true,true,supported,supported
25,4,8,-0.03541391764846091,-0.023650888257070513,-0.019991169663249653,-0.004030593673255312,true,true,supported,supported
25,4,9,0.08519879821192422,0.02939914713991798,-0.022834405935228896,-0.004609178441481565,true,true,supported,supported
25,4,10,0.03885193722347813,0.02788064372595711,-0.025674479936079075,-0.005188451246219361,true,true,supported,supported
25,4,11,0.03319716448520005,-0.008087467607318932,-0.0285113990229805,-0.005768449218922389,true,true,supported,supported
25,4,12,-0.06648412340806453,0.02549383904196767,-0.03134516601585047,-0.006349160963455169,true,true,supported,supported
25,4,13,-0.02300686732410062,-0.016630215700742412,-0.03417601520363278,-0.006930613128595886,true,true,supported,supported
25,4,14,-0.019233666797843885,-0.032483260925532886,-0.037003634162659726,-0.007512768077172716,true,true,supported,supported
25,4,15,-0.07947307970865225,-0.09699143133747135,-0.03982806586113119,-0.008095634824816123,true,true,supported,supported
25,5,1,0.0,0.0,0.0,0.0,true,true,supported,supported
25,5,2,-0.020919751272558074,-0.025680651843765556,-0.0028653850287652105,-0.0005737431088805867,true,true,supported,supported
25,5,3,-0.010070026780156116,0.08528059364540486,-0.005727598353157504,-0.0011481631107591594,true,true,supported,supported
25,5,4,-0.04227163590766558,0.00795477522300203,-0.008586642042826997,-0.0017232710691525988,true,true,supported,supported
25,5,5,-0.017195074301911473,0.026415555963968496,-0.01144251922178463,-0.0022990596478537073,true,true,supported,supported
25,5,6,-0.10738475396950686,-0.03850005586787175,-0.014295232358622956,-0.0028755300241831705,true,true,supported,supported
25,5,7,-0.008811029007664284,-0.029082159691471876,-0.017144780418153927,-0.00345272346108616,true,true,supported,supported
25,5,8,-0.0685776918304174,0.005915320674617863,-0.019991169663249653,-0.004030593673255312,true,true,supported,supported
25,5,9,0.009996783614429128,-0.002896348898879797,-0.022834405935228896,-0.004609178441481565,true,true,supported,supported
25,5,10,-0.055310911352341674,-0.027803535725617667,-0.025674479936079075,-0.005188451246219361,true,true,supported,supported
25,5,11,-0.05613988062658204,-0.06326759505194623,-0.0285113990229805,-0.005768449218922389,true,true,supported,supported
25,5,12,-0.029251919790377667,0.0077784581973213696,-0.03134516601585047,-0.006349160963455169,true,true,supported,supported
25,5,13,-0.008081750050925818,0.05172696539445054,-0.03417601520363278,-0.006930613128595886,true,true,supported,supported
25,5,14,-0.00251169461046441,0.04019952908984248,-0.037003634162659726,-0.007512768077172716,true,true,supported,supported
25,5,15,-0.11249293636856583,-0.06808078608663859,-0.03982806586113119,-0.008095634824816123,true,true,supported,supported
25,6,1,0.0,0.0,0.0,0.0,true,true,supported,supported
25,6,2,0.07216581461657035,0.1065221848711192,-0.0028653850287652105,-0.0005737431088805867,true,true,supported,supported
25,6,3,-0.0011467066347052857,0.028185609203684847,-0.005727598353157504,-0.0011481631107591594,true,true,supported,supported
25,6,4,0.059533255523054884,0.039740074506212975,-0.008586642042826997,-0.0017232710691525988,true,true,supported,supported
25,6,5,0.07141292703861024,0.04848723971570046,-0.01144251922178463,-0.0022990596478537073,true,true,supported,supported
25,6,6,-0.038722696196881956,-0.011999693240782427,-0.014295232358622956,-0.0028755300241831705,true,true,supported,supported
25,6,7,-0.011430929819261082,0.08044737986142747,-0.017144780418153927,-0.00345272346108616,true,true,supported,supported
25,6,8,-0.022223130357022836,-0.06329008093812727,-0.019991169663249653,-0.004030593673255312,true,true,supported,supported
25,6,9,-0.02000934709368929,-0.0034807987750752334,-0.022834405935228896,-0.004609178441481565,true,true,supported,supported
25,6,10,0.054659986127004845,0.049308662644223955,-0.025674479936079075,-0.005188451246219361,true,true,supported,supported
25,6,11,-0.0020505338707232923,0.0709696509293739,-0.0285113990229805,-0.005768449218922389,true,true,supported,supported
25,6,12,-0.03883303073579325,-0.03596827701186067,-0.03134516601585047,-0.006349160963455169,true,true,supported,supported
25,6,13,0.0487480794917895,-0.058490132153869334,-0.03417601520363278,-0.006930613128595886,true,true,supported,supported
25,6,14,-0.06553649101542869,-0.008768186261893796,-0.037003634162659726,-0.007512768077172716,true,true,supported,supported
25,6,15,-0.09736355625055315,-0.042219160305826064,-0.03982806586113119,-0.008095634824816123,true,true,supported,supported
25,7,1,0.0,0.0,0.0,0.0,true,true,supported,supported
25,7,2,-0.030193916843360036,0.029942641718000318,-0.0028653850287652105,-0.0005737431088805867,true,true,supported,supported
25,7,3,-0.009488307101847004,0.05315751503230537,-0.005727598353157504,-0.0011481631107591594,true,true,supported,supported
25,7,4,-0.05243126878279358,0.03674390907366931,-0.008586642042826997,-0.0017232710691525988,true,true,supported,supported
25,7,5,-0.04464935860382413,0.026570167065014805,-0.01144251922178463,-0.0022990596478537073,true,true,supported,supported
25,7,6,0.010513510262326387,0.05007175367488248,-0.014295232358622956,-0.0028755300241831705,true,true,supported,supported
25,7,7,0.02694613553616021,0.11782222828061417,-0.017144780418153927,-0.00345272346108616,true,true,supported,supported
25,7,8,-0.08578686705498417,0.017518269915377638,-0.019991169663249653,-0.004030593673255312,true,true,supported,supported
25,7,9,-0.024429485504369297,0.059424184643180555,-0.022834405935228896,-0.004609178441481565,true,true,supported,supported
25,7,10,-0.0527293084266649,-0.002410180931186945,-0.025674479936079075,-0.005188451246219361,true,true,supported,supported
25,7,11,-0.07824007674494848,0.017839397610770802,-0.0285113990229805,-0.005768449218922389,true,true,supported,supported
25,7,12,-0.009335424527791458,0.15475625587233688,-0.03134516601585047,-0.006349160963455169,true,true,supported,supported
25,7,13,-0.01681505636775449,0.12879287970723963,-0.03417601520363278,-0.006930613128595886,true,true,supported,supported
25,7,14,0.009078344902921476,0.052234096466273194,-0.037003634162659726,-0.007512768077172716,true,true,supported,supported
25,7,15,0.02219657219019555,0.11889901912031997,-0.03982806586113119,-0.008095634824816123,true,true,supported,supported
25,8,1,0.0,0.0,0.0,0.0,true,true,supported,supported
25,8,2,0.016116730895478715,0.027957788089344682,-0.0028653850287652105,-0.0005737431088805867,true,true,supported,supported
25,8,3,0.09214411853545712,0.0216029471051582,-0.005727598353157504,-0.0011481631107591594,true,true,supported,supported
25,8,4,0.008495194481798474,-0.06802338618575521,-0.008586642042826997,-0.0017232710691525988,true,true,supported,supported
25,8,5,0.031182649480650082,-0.027558673564733405,-0.01144251922178463,-0.0022990596478537073,true,true,supported,supported
25,8,6,0.13805228437406292,0.07839342606448318,-0.014295232358622956,-0.0028755300241831705,true,true,supported,supported
25,8,7,-0.07044455006211947,-0.0951169025425147,-0.017144780418153927,-0.00345272346108616,true,true,supported,supported
25,8,8,-0.041667056988986984,-0.0011958996808194566,-0.019991169663249653,-0.004030593673255312,true,true,supported,supported
25,8,9,0.03771931595626887,-0.039028500371722896,-0.022834405935228896,-0.004609178441481565,true,true,supported,supported
