draw_index,endpoint_label,field_orientation,fit_status,A,centre_y_um,centre_z_um,sigma_y_um,sigma_z_um,aspect_ratio_y_over_z
42,B_parallel_z,z,success,18239.075838359433,-0.4440679365791042,-0.011058789763555038,8.734095707600163,0.6862215669636978,12.727807064190115
43,B_parallel_y,y,success,18574.808982987503,-0.1498493476915635,4.876321082963954e-05,6.518261067815474,0.33813392942265214,19.27715766041314
43,B_parallel_z,z,success,17343.798778454202,-0.6964288991229709,0.00040788888588659067,8.86075949394727,0.6475297621687296,13.68394166821074
44,B_parallel_y,y,success,18213.097228389546,-0.3189710667390204,0.02461977700821961,6.195082256829325,0.3633131534381433,17.051632175172767
44,B_parallel_z,z,success,18432.759932586843,-0.428533801634798,-0.04426403784326595,8.906086739794304,0.6403139018953986,13.908938590012369
45,B_parallel_y,y,success,18096.019828119253,-0.37524346556727634,-0.02384138588625408,6.285725617819159,0.26921187427537346,23.34861950178902
45,B_parallel_z,z,success,18519.44058180769,-1.1196220615041543,0.029430190486464936,8.822690788765913,0.705159883324508,12.511617574118
46,B_parallel_y,y,success,18335.269352674026,-0.5722784595374738,0.004550823142092923,6.229288980214317,0.41058406491573846,15.171774826411527
46,B_parallel_z,z,success,17326.99297939595,-0.8911282242614906,0.012081495653636112,7.822453520490271,0.7347952289091686,10.645759815429123
47,B_parallel_y,y,success,18556.989834632408,0.04262238396766024,-0.0017096950676597264,6.1467117433259455,0.36733081281078345,16.73344987394834
47,B_parallel_z,z,success,18232.145162810175,-0.014231129987610981,-0.04210186071037638,8.643417136212044,0.749113139502474,11.538199879864072
48,B_parallel_y,y,success,18366.26283159137,0.08395039262324079,0.022108255317477003,6.532253455357942,0.2913768981967372,22.41857022908994
48,B_parallel_z,z,success,19497.65478110016,-1.4865569664976634,0.056740405230824076,9.087924552606259,0.6822590036114906,13.320343893594606
49,B_parallel_y,y,success,19426.96189296507,0.04041706941880104,-0.0357575393541784,6.501693144033912,0.369618709995242,17.59027064435566
49,B_parallel_z,z,success,18741.96948258756,-0.6215942774724805,-0.044881635900069064,9.287893830828795,0.6809270457010389,13.640071854197792
50,B_parallel_y,y,success,18252.32452148082,-0.21598656694595367,0.03134667190708674,6.475429258539811,0.3207565549194493,20.187987304471353
50,B_parallel_z,z,success,19565.995250449963,-0.8463639463534269,-0.003561948106827326,8.999481152249698,0.7313536219379516,12.305239055769958
51,B_parallel_y,y,success,18307.007343031477,0.06382214496986142,-0.010819107110009793,6.353413344997331,0.29177691674020273,21.77490055066416
51,B_parallel_z,z,success,19769.218550002766,-1.4258894221136764,0.02412368382097227,9.30639743225169,0.772156021262307,12.052483145877378
52,B_parallel_y,y,success,19146.1058675133,0.04879583205651054,0.008183023653942864,6.599047622724658,0.29362842030870884,22.474144756787137
52,B_parallel_z,z,success,19110.3713207347,-0.4069388058103574,-0.01758096593857446,9.493932150773224,0.7028978542587058,13.506844690521598
53,B_parallel_y,y,success,19152.882680762432,-0.2407059766560716,0.02182768648465324,6.3887505477898765,0.23350113239556783,27.36068336048525
53,B_parallel_z,z,success,18382.57817845995,-0.7278579000034727,0.03329270622783471,8.852586635023087,0.705377701160544,12.550136785523701
54,B_parallel_y,y,success,19799.248578830888,-0.02864065377946716,0.00693350890422627,6.413392902372916,0.29373763625261023,21.83374586992825
54,B_parallel_z,z,success,17719.567245955175,-0.6224777147282806,0.006743987668402383,8.911928483616068,0.6961976774565037,12.80085925620293
55,B_parallel_y,y,success,18976.97620743484,-0.17823479548971843,0.006088086199696616,6.428798844341963,0.30858336888708543,20.833264175991097
55,B_parallel_z,z,success,19070.59737498266,-1.3716164334196592,0.1115336006450572,9.346199989298837,0.6564538425673293,14.237406171234715
56,B_parallel_y,y,success,18983.87705937554,0.053657635656751496,0.03095433619620037,6.582003924717086,0.3003574853392971,21.91390008902812
56,B_parallel_z,z,success,19648.182246296492,-0.7450070856335589,-0.01842754387010834,8.818550170461272,0.7569240545200593,11.650508552080334
57,B_parallel_y,y,success,19033.872360780395,0.021819024276709318,-0.03584210822834551,6.409008894763319,0.3581531267404323,17.894605452958057
57,B_parallel_z,z,success,19419.005476994702,-0.34272718144896996,0.030042962669682805,9.505582979609546,0.7564159548490198,12.566608251285306
58,B_parallel_y,y,success,18444.964159993036,-0.10897648091280976,-0.020067987385782263,6.493543066445789,0.29902367552287307,21.715815829937792
58,B_parallel_z,z,success,17801.51002983165,-1.4281362355017337,-0.03462839045264835,8.98419002588236,0.6153085611564024,14.601113316215846
59,B_parallel_y,y,success,18710.02718997616,0.2696681108333101,-0.0022767036310670217,6.585415059815256,0.27283997049310277,24.136548057505863
59,B_parallel_z,z,success,19340.1114748791,-0.2711333374507372,0.03605177089748891,8.856658832771497,0.6983686479622279,12.681925024289637
60,B_parallel_y,y,success,18322.05844980291,0.05113251542368608,0.009220102149938231,6.379512060541568,0.3602596226524248,17.708096215646304
60,B_parallel_z,z,success,18750.51901658977,-0.22035936264610287,0.04703006209959706,8.79237214179504,0.6942669959156077,12.664251928322695
61,B_parallel_y,y,success,18919.246006953515,-0.4193081320497968,-0.00653088540856905,6.625006303072916,0.36697816871409367,18.052862180568415
61,B_parallel_z,z,success,18208.953597856038,-0.9571318647242332,-0.027172863229388278,9.118314362533694,0.7262288669002122,12.555703550388614
62,B_parallel_y,y,success,18858.540069945826,-0.04689997115539269,-0.007934559047368046,6.801627202227984,0.3063582865414069,22.201544730563985
62,B_parallel_z,z,success,19496.92631593614,-0.8635087954065261,0.03413841828587221,8.730478781305612,0.7066990028607265,12.353885807061456
63,B_parallel_y,y,success,18222.594320015625,-0.017504346321411544,0.01758874883888381,6.310862070945157,0.2595399557198579,24.315570423218272
63,B_parallel_z,z,success,17484.327205476122,-1.1951695314361885,0.022121214833242867,8.766607163874419,0.6881964512461715,12.738524222262456
