method,state,display_label,duration_us,observable,unit,truth,draw_count,mean,median,q16,q84,empirical_sd,bias
dgi,connected_modulated,SSP,400,eta,ratio,1.0,64,1.007564033099658,1.0109215840194863,0.9472703331066086,1.0611274632961025,0.05831604996185079,0.00756403309965803
dgi,connected_modulated,SSP,400,d_peak,um,2.751540046488,64,2.7507313547760703,2.75121889579525,2.7407958950685,2.75984375561734,0.0088854397909814,-0.0008086917119296544
dgi,connected_modulated,SSP,400,nu_vp,ratio,0.6494770333465083,64,0.6481545729028089,0.6484979446171144,0.6381639710617464,0.6599193048388162,0.010816798789908518,-0.0013224604436994358
dgi,separated_droplets,ID,25,eta,ratio,1.0,64,0.9875105998435049,0.9906214129218625,0.9090935093634387,1.0756098516159298,0.07671560800297306,-0.012489400156495134
dgi,separated_droplets,ID,25,d_peak,um,2.799987273455,64,2.7985379182825705,2.79815612687925,2.77663667013342,2.82512047971608,0.022561432393055438,-0.0014493551724297227
dgi,separated_droplets,ID,25,nu_vp,ratio,0.08736061642362755,64,0.09411042755482874,0.09560677885273217,0.07657948484489122,0.11153050087235215,0.01738504498025323,0.006749811131201183
dgi,separated_droplets,ID,50,eta,ratio,1.0,64,0.9889493589249049,1.0026410336495384,0.9129896032940982,1.0465967334214152,0.07373934867413436,-0.011050641075095124
dgi,separated_droplets,ID,50,d_peak,um,2.799987273455,64,2.7979239999863594,2.798384794253,2.7839186277686596,2.8137011017634403,0.014851918175369952,-0.0020632734686407694
dgi,separated_droplets,ID,50,nu_vp,ratio,0.08736061642362755,64,0.08818178102846089,0.08602141621344156,0.07765006125390575,0.09990034775554493,0.01151563161665188,0.0008211646048333354
dgi,separated_droplets,ID,100,eta,ratio,1.0,64,1.0049257264007667,1.0051417915880712,0.9693805979339765,1.0388430453942934,0.03464742464795315,0.004925726400766717
dgi,separated_droplets,ID,100,d_peak,um,2.799987273455,64,2.8001002903710077,2.799646044981,2.7917145988385403,2.80904166439812,0.008718650584607078,0.0001130169160075134
dgi,separated_droplets,ID,100,nu_vp,ratio,0.08736061642362755,64,0.0862631280690832,0.08565502692244516,0.07710907799983366,0.09482677769770513,0.008292218968516181,-0.001097488354544346
dgi,separated_droplets,ID,200,eta,ratio,1.0,64,1.0001592678015427,0.9986528062837312,0.9780395270428898,1.0231261312118192,0.023678331268864677,0.00015926780154273956
dgi,separated_droplets,ID,200,d_peak,um,2.799987273455,64,2.7997534992166875,2.8004023939855,2.7915076898745803,2.8067855114010203,0.007906819388009202,-0.00023377423831272282
dgi,separated_droplets,ID,200,nu_vp,ratio,0.08736061642362755,64,0.08807362733573712,0.08704203357278621,0.083433072567287,0.09403264583463228,0.0051823015906058145,0.0007130109121095685
dgi,separated_droplets,ID,400,eta,ratio,1.0,64,0.9977226762839173,0.9975817920406933,0.9818757927131588,1.0147513634311272,0.017655281582279206,-0.002277323716082691
dgi,separated_droplets,ID,400,d_peak,um,2.799987273455,64,2.8003715526608675,2.8000197059142504,2.7958302324372806,2.80488681773638,0.004614890225959755,0.00038427920586725506
