method,state,duration_us,draw_id,d_peak_hat_um,nu_vp_hat,d_peak_truth_um,nu_vp_truth,d_peak_conditional_sd_um,nu_vp_conditional_sd,old_d_peak_supported,old_nu_vp_supported,selected_locally_eligible,minimum_distinct_alternative_delta_q,d_peak_competitive_alternative_count,nu_vp_competitive_alternative_count,d_peak_supported,nu_vp_supported,support_rule
dgi,connected_modulated,25,47,2.799122439844,0.49383236500211003,2.751540046488,0.6494770333465083,0.03467315358889613,0.05178204263824449,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
dgi,connected_modulated,25,48,2.6768852660705003,0.5956066308572178,2.751540046488,0.6494770333465083,0.038302444101341974,0.052689756501427855,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
dgi,connected_modulated,25,49,2.7802662720355,0.6289169549399088,2.751540046488,0.6494770333465083,0.04147983306551574,0.05229624966793747,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
dgi,connected_modulated,25,50,2.646548141316,0.6710818669566725,2.751540046488,0.6494770333465083,0.04496986785182567,0.05420643531240834,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
dgi,connected_modulated,25,51,2.760277818987,0.7483045849723122,2.751540046488,0.6494770333465083,0.05758376113873862,0.04790292618054811,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
dgi,connected_modulated,25,52,2.7101011904545,0.69911729428996,2.751540046488,0.6494770333465083,0.04804680595511897,0.05155439184403785,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
dgi,connected_modulated,25,53,2.6953864084785,0.6776839724115998,2.751540046488,0.6494770333465083,0.04558444924883024,0.054121326857325174,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
dgi,connected_modulated,25,54,2.711004627345,0.6114204307723934,2.751540046488,0.6494770333465083,0.040352227749010455,0.055234625693922144,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
dgi,connected_modulated,25,55,2.741721063277,0.6263049389724182,2.751540046488,0.6494770333465083,0.04045277803965194,0.05211863721733121,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
dgi,connected_modulated,25,56,2.7304485236925,0.6255810488962427,2.751540046488,0.6494770333465083,0.04382393584602662,0.058101551085798155,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
