family,state,method,observable,unit,duration_us,whole_image_snr,q16,q84,recovery_width,draw_count
three_state,ID,dpfi,eta,ratio,25,24.438605696845233,0.9607010452149132,1.0259066776283807,0.06520563241346755,64
three_state,ID,dpfi,eta,ratio,50,35.21144337249037,0.9806953760719909,1.0123009886978886,0.03160561262589778,64
three_state,ID,dpfi,eta,ratio,100,50.27611170466372,0.9821278189166571,1.0158883838918078,0.033760564975150675,64
three_state,ID,dpfi,eta,ratio,200,71.44775813142074,0.9899462423705645,1.0123857471260609,0.022439504755496387,64
three_state,ID,dpfi,eta,ratio,400,101.29018569921506,0.9919194489265889,1.0069112712928774,0.014991822366288488,64
three_state,SSP,dpfi,eta,ratio,25,28.865244556764,0.971738710547379,1.035467371761746,0.06372866121436693,64
three_state,SSP,dpfi,eta,ratio,50,41.52472350046812,0.9868816165776748,1.0234322171351347,0.036550600557459845,64
three_state,SSP,dpfi,eta,ratio,100,59.24166618712719,0.9884108509201793,1.0126534778361203,0.024242626915940924,64
three_state,SSP,dpfi,eta,ratio,200,84.15314321465615,0.9914901507611485,1.007661148982554,0.01617099822140544,64
three_state,SSP,dpfi,eta,ratio,400,119.27676224321354,0.994592624680996,1.0074669237216194,0.012874299040623427,64
three_state,ID,dgi,nu_vp,ratio,25,23.770658698698366,0.07657948484489122,0.11153050087235215,0.03495101602746094,64
three_state,ID,dgi,nu_vp,ratio,50,34.37397586982964,0.07765006125390575,0.09990034775554493,0.022250286501639183,64
three_state,ID,dgi,nu_vp,ratio,100,49.257911500954656,0.07710907799983366,0.09482677769770513,0.017717699697871472,64
three_state,ID,dgi,nu_vp,ratio,200,70.19309152671886,0.083433072567287,0.09403264583463228,0.010599573267345272,64
three_state,ID,dgi,nu_vp,ratio,400,99.69465101762289,0.08287064242039081,0.09181130213517229,0.008940659714781474,64
three_state,SSP,dgi,nu_vp,ratio,25,25.291394803813894,0.5958136768644248,0.6986266658447607,0.10281298898033597,64
three_state,SSP,dgi,nu_vp,ratio,50,36.564720219565736,0.6199735939804313,0.6744851082902805,0.05451151430984924,64
three_state,SSP,dgi,nu_vp,ratio,100,52.38766749643089,0.6296194320952101,0.6728215571848619,0.04320212508965182,64
three_state,SSP,dgi,nu_vp,ratio,200,74.64819918105336,0.6317359620334803,0.6665971917748422,0.034861229741361965,64
three_state,SSP,dgi,nu_vp,ratio,400,106.01995142863935,0.6381639710617464,0.6599193048388162,0.02175533377706984,64
three_state,ID,dpfi,nu_vp,ratio,25,24.438605696845233,0.06889559468408453,0.10174415228142297,0.03284855759733844,64
three_state,ID,dpfi,nu_vp,ratio,50,35.21144337249037,0.07854139095596971,0.09452991824293837,0.01598852728696866,64
three_state,ID,dpfi,nu_vp,ratio,100,50.27611170466372,0.08002090563218661,0.09375711923802028,0.013736213605833672,64
three_state,ID,dpfi,nu_vp,ratio,200,71.44775813142074,0.08198006822165145,0.09192477147149922,0.009944703249847767,64
three_state,ID,dpfi,nu_vp,ratio,400,101.29018569921506,0.0855219837771315,0.09123421450391886,0.005712230726787365,64
three_state,SSP,dpfi,nu_vp,ratio,25,28.865244556764,0.6094225156308486,0.7170524290556064,0.1076299134247578,64
three_state,SSP,dpfi,nu_vp,ratio,50,41.52472350046812,0.6125069412603557,0.6788134571512099,0.06630651589085423,64
three_state,SSP,dpfi,nu_vp,ratio,100,59.24166618712719,0.6241521119830592,0.6756359232383558,0.05148381125529655,64
three_state,SSP,dpfi,nu_vp,ratio,200,84.15314321465615,0.6295842878743597,0.6732160413962913,0.043631753521931604,64
three_state,SSP,dpfi,nu_vp,ratio,400,119.27676224321354,0.6357426019661703,0.6606196146540106,0.024877012687840372,64
