draw_id,state,duration_us,start_id,start_eta,start_d_um,start_sigma_y_um,start_y0_um,optimizer_success,finite,converged,termination_status,termination_message,nfev_total,nfev_by_irls_pass_json,raw_objective,reduced_raw_objective,maximum_absolute_whitened_residual,eta_hat,d_hat_um,sigma_y_hat_um,y0_hat_um,active_physical_bounds,active_nuisance_bounds,fit_vector_json,runtime_seconds,jacobian_rank,jacobian_condition,morphology_rank_after_y0_and_nuisance_projection,morphology_projected_singular_values_json,physical_censored,nuisance_censored,topology_valid,d_peak_um,nu_vp,d_peak_conditional_sd_um,nu_vp_conditional_sd,d_peak_supported_local,nu_vp_supported_local
26,separated_droplets,100,2,1.3,3.4,1.15,0.0,true,true,true,2,`ftol` termination condition is satisfied.,13,"[9,4]",7152.729577781816,0.9876732363686573,3.691366176582035,1.0033975336367222,2.808182664491837,0.5517056214992182,0.014157499602111497,0,2,"[0.0033917750589374635,1.0325375355050173,-0.5947406693425438,0.014157499602111497,1.0029659805356534,1.0023644568259005,1.6383557328810217e-13,1.2318136462770095e-18]",17.736334300017916,8,11.463117874179646,3,"[156.96433323802617,142.44023405369796,87.59047760117735]",false,false,true,2.808174559248,0.07798921022228654,0.015844842207934536,0.007188865145923384,true,true
26,separated_droplets,100,3,0.8,3.2,0.55,0.8,true,true,true,2,`ftol` termination condition is satisfied.,11,"[7,4]",7152.696296124754,0.9876686407242135,3.6913734672550356,1.0037422590506824,2.808454530449384,0.5516204533972363,0.014233371703341442,0,2,"[0.003735274219888386,1.032634342882216,-0.5948950536249221,0.014233371703341442,1.0029672587202607,1.0023723887293394,2.8061360639108894e-16,1.5656546649090819e-18]",14.656981900014216,8,11.484521038317054,3,"[155.478032738812,142.00374330908429,87.42456543583468]",false,false,true,2.8084464770195,0.07786243829686054,0.01585864644637559,0.007217021346800828,true,true
26,separated_droplets,100,4,1.2,2.4,1.0,-0.8,true,true,true,2,`ftol` termination condition is satisfied.,28,"[20,8]",8932.43166643865,1.2334205559843483,11.888505826089974,1.4999998889527508,2.272092827188203,0.988746396172623,0.038128629502133894,1,1,"[0.4054650340766621,0.8207013570613401,-0.011317404738649797,0.038128629502133894,1.0088050274978657,0.9974202010986742,0.01182738138951985,4.44201534450229e-28]",37.102164000010816,8,15.274128433793736,3,"[226.18703698434564,92.16037388254516,65.63333571653668]",true,false,true,1.811561300607,0.9033110643367531,0.20941964393758003,0.01012485286617312,false,false
27,separated_droplets,100,0,1.0,2.8,0.75,0.0,true,true,true,2,`ftol` termination condition is satisfied.,10,"[6,4]",7246.692947235422,1.0006480181214337,3.8809816770474606,0.9917559601943494,2.774459889429615,0.5719045067772094,0.004970366417963209,0,1,"[-0.008278209830762998,1.0204560938148788,-0.5587832477330961,0.004970366417963209,1.0037158596687297,1.001834656690625,0.0008594719984510744,3.614964805789118e-20]",13.860838800028432,8,11.161756066185061,3,"[148.97673222511904,138.80264981722146,89.8442397966433]",false,false,true,2.774433650392,0.10491209249004177,0.01602919948478539,0.008632102962507557,true,true
27,separated_droplets,100,1,0.6,2.2,0.4,0.0,true,true,true,2,`ftol` termination condition is satisfied.,12,"[7,5]",7246.763814313985,1.000657803688758,3.8809469799278604,0.991164166323144,2.7727052476126812,0.5716597877592294,0.005872871625349275,0,1,"[-0.008875101133505611,1.0198234672994948,-0.5592112411968387,0.005872871625349275,1.00370493735995,1.0018383271019853,0.0008304805382796899,2.0108579681408573e-26]",16.37099280001712,8,11.201950828026533,3,"[148.95047696859032,138.28121463129384,89.58781454420652]",false,false,true,2.7726788985789996,0.10503839867591738,0.0160573301122092,0.008712290997915593,true,true
27,separated_droplets,100,2,1.3,3.4,1.15,0.0,true,true,true,2,`ftol` termination condition is satisfied.,15,"[10,5]",7246.738577896269,1.000654318958336,3.8811596616164907,0.9926779244895743,2.7782828110822093,0.5725552923113852,0.002866130160268143,0,1,"[-0.007349013480432162,1.02183304299578,-0.5576459677607662,0.002866130160268143,1.0037337676771727,1.001815829107147,0.0009101407343817089,6.306457286080528e-24]",20.517569900024682,8,11.198420640288305,3,"[150.6505194597784,140.20036053238795,89.56362020805216]",false,false,true,2.7782566837435,0.10476428823662712,0.01607566239254195,0.00849027426247272,true,true
27,separated_droplets,100,3,0.8,3.2,0.55,0.8,true,true,true,2,`ftol` termination condition is satisfied.,13,"[8,5]",7246.768816921728,1.0006584944658559,3.8809523724346753,0.9906279658628633,2.7713716836101248,0.5716867322925425,0.007218362027511979,0,1,"[-0.009416227990007313,1.0193423902708678,-0.5591641084460138,0.007218362027511979,1.003690067078238,1.0018377567077172,0.0008561461104416441,6.3349901958960514e-24]",17.87052820000099,8,10.891583947667737,3,"[150.502357438513,140.92301268835504,92.09815272083841]",false,false,true,2.7713450180565,0.10536489016981068,0.015585089621225267,0.008649989575160989,true,true
27,separated_droplets,100,4,1.2,2.4,1.0,-0.8,true,true,true,2,`ftol` termination condition is satisfied.,23,"[16,7]",8745.052412598956,1.207546591079668,12.717603314388468,1.4429978278453,2.244074122563093,0.9591094131071849,0.030550979623401666,0,1,"[0.36672277448588836,0.8082930185601523,-0.04175011977529586,0.030550979623401666,1.008488524606949,0.9979433716051128,0.021661470947591716,4.162385922354743e-30]",31.332201100012753,8,15.318404265116664,3,"[220.53160019911473,89.72213876575577,65.44782302435004]",false,false,true,1.8889131824005,0.8944333114228794,0.11271971664873544,0.014119350603653583,true,true
28,separated_droplets,100,0,1.0,2.8,0.75,0.0,true,true,true,2,`ftol` termination condition is satisfied.,9,"[5,4]",7489.351321718837,1.0341551120848989,4.046977966803005,0.9982562187037628,2.807755454259156,0.5532849210776556,-0.00037766905204700805,0,2,"[-0.0017453034526376987,1.0323853934320557,-0.5918821821556419,-0.00037766905204700805,1.0053484067383964,0.9998514582181504,1.1670245255564354e-16,2.555248371481745e-16]",9.66212700001779,8,11.290690189114663,3,"[154.30892153643657,143.85389022662022,88.92774200691785]",false,false,true,2.8077466948380003,0.07951972693162301,0.015575313183544215,0.007261141337969877,true,true
28,separated_droplets,100,1,0.6,2.2,0.4,0.0,true,true,true,2,`ftol` termination condition is satisfied.,11,"[7,4]",7489.320502178036,1.0341508564178454,4.046856331779883,0.9993413338651751,2.8078816908215143,0.5530862368298067,-0.0011654998595610172,0,2,"[-0.0006588831506626987,1.0324303523776281,-0.5922413459833766,-0.0011654998595610172,1.0053634190107945,0.9998641994048335,1.3305521817086103e-17,1.9369766099841904e-17]",11.487679099984234,8,11.446187053167613,3,"[153.91481133186957,142.30221376421846,87.71554963890992]",false,false,true,2.8078730217425,0.07931308957041545,0.015816720018808416,0.007272979616523509,true,true
