method,state,display_label,duration_us,draw_id,selected_start_id,converged_start_count,optimizer_failure,residual_failure,eta_hat,d_hat_um,sigma_y_hat_um,y0_hat_um,d_peak_hat_um,d_peak_truth_um,d_peak_bias_um,nu_vp_hat,nu_vp_truth,nu_vp_bias,d_peak_conditional_sd_um,nu_vp_conditional_sd,d_peak_multistart_shift_sd,nu_vp_multistart_shift_sd,d_peak_supported,nu_vp_supported,support_reasons_json,topology_valid,physical_censored,nuisance_censored,morphology_rank_after_projection,raw_objective,reduced_raw_objective,maximum_absolute_whitened_residual,active_physical_bounds,active_nuisance_bounds
dpfi,connected_modulated,SSP,25,29,2,5,false,false,0.9644831775172178,2.7641309780630157,0.9446589788652187,0.01303486537242175,2.7100949865275,2.751540046488,-0.041445059960500075,0.6658087188920654,0.6494770333465083,0.016331685545557084,0.060858226855645764,0.06527561624727908,0.0803847759334849,0.16858282711490646,true,true,[],true,false,false,3,7132.215375062789,0.9848405654602028,4.504701422183542,0,1
dpfi,connected_modulated,SSP,25,30,1,5,false,false,1.0365320126408157,2.855988585682853,1.0485590615059892,-0.01068102536941921,2.7471053097724996,2.751540046488,-0.004434736715500431,0.7546768949406264,0.6494770333465083,0.1051998615941181,0.08591478339639143,0.0650498026672487,0.152942118603449,0.045293724320477895,true,true,[],true,false,false,3,7254.536573697927,1.0017310927503351,4.186233675922731,0,1
dpfi,connected_modulated,SSP,25,31,1,5,false,false,0.9817016633983744,2.822898427260299,0.9766680777243333,0.013949009935117933,2.7608172754730003,2.751540046488,0.009277228985000274,0.6816369901669724,0.6494770333465083,0.03215995682046413,0.06614501703946864,0.06668359905302627,0.1577990832063931,0.1944091889718941,true,true,[],true,false,false,3,6906.704984585775,0.9537013234722141,3.9940632022085594,0,0
dpfi,connected_modulated,SSP,25,32,1,5,false,false,0.98085403886901,2.660950338633286,0.9451117373923924,-0.011513951614001535,2.5860651797539997,2.751540046488,-0.16547486673400025,0.7147086239945869,0.6494770333465083,0.0652315906480786,0.07123042304494084,0.06945688567379937,0.05977348677704741,0.06964411059731775,true,true,[],true,false,false,3,7486.218293016295,1.033722492821913,4.9272947976089325,0,1
dpfi,connected_modulated,SSP,25,33,3,5,false,false,0.9794840866263994,2.866015253035145,0.9995801967555974,-0.04424053164536843,2.7979989864715,2.751540046488,0.046458939983499814,0.6918724787728225,0.6494770333465083,0.04239544542631424,0.06676201518728285,0.0637569297843861,0.10777413627817753,0.03137222417095144,true,true,[],true,false,false,3,7501.981749987914,1.0358991645937468,5.009417458155787,0,2
dpfi,connected_modulated,SSP,25,34,1,5,false,false,0.9712994785028151,2.8054954538758765,0.9417504446406366,-0.0014994582153681423,2.7594510605764997,2.751540046488,0.007911014088499702,0.6423826047706394,0.6494770333465083,-0.00709442857586895,0.057912862604267354,0.06385653210045907,0.04340109564562567,0.19755009450893452,true,true,[],true,false,false,3,7033.111163062661,0.9711559186775285,3.7845161720317173,0,1
dpfi,connected_modulated,SSP,25,35,4,5,false,false,1.0195410696025433,2.7459292652956355,0.8732147223759283,0.01067446004071846,2.7199852029724996,2.751540046488,-0.03155484351550042,0.5702727399926348,0.6494770333465083,-0.07920429335387347,0.04903718853759818,0.06029195137991613,0.03305518980266628,0.03414552707797221,true,true,[],true,false,false,3,7379.373670188134,1.0189690237763234,4.069486294973701,0,1
dpfi,connected_modulated,SSP,25,36,1,5,false,false,0.9821140368878783,2.753245609774674,0.9588183968823517,0.04980425338505294,2.688820163964,2.751540046488,-0.06271988252400007,0.689978445066855,0.6494770333465083,0.040501411720346714,0.06307724762665516,0.06433984506558098,0.02443435293217698,0.05410719044654054,true,true,[],true,false,false,3,7296.72474826418,1.0075565794344352,4.2354421089592025,0,1
dpfi,connected_modulated,SSP,25,37,3,5,false,false,1.0338805963556073,2.828826509565055,0.9465737202569323,0.040549027511181016,2.7838312466475,2.751540046488,0.03229120015949993,0.6382050403172668,0.6494770333465083,-0.011271993029241534,0.05587677368365739,0.06269191210025195,0.15039100541264722,0.18898866315420768,true,true,[],true,false,false,3,6907.492139617644,0.9538100165172113,3.789301795053149,0,2
dpfi,connected_modulated,SSP,25,38,3,5,false,false,0.9548457840907276,2.758878169137596,0.9240409013052793,0.02976347514685328,2.714583453244,2.751540046488,-0.036956593244000135,0.6394504682295137,0.6494770333465083,-0.010026565116994623,0.0583147090584634,0.06605536252282958,0.03945951412863677,0.02989034907985206,true,true,[],true,false,false,3,7097.7912834548815,0.9800871697673131,4.122765110685347,0,1
