duration_us,image_q,observable,truth,supported_count,predeclared_sequence_count,q16,median,q84
200,11,eta,0.7806470939332305,64,64,0.7667788094379259,0.7784849233446756,0.7925331326091773
200,12,eta,0.7598001043298795,64,64,0.74498285648781,0.7589198886830674,0.7680059407663562
200,13,eta,0.7391507710576984,64,64,0.7275910709004012,0.7380734435565961,0.7560840155753071
200,14,eta,0.7186989430908868,64,64,0.7059428031103295,0.7177368999546943,0.7320094401156945
200,15,eta,0.6984440259310601,64,64,0.6843799259223947,0.6947579054906401,0.7058657028293589
400,1,eta,1,64,64,0.9875064741727396,1.0019306896154845,1.015263304793102
400,2,eta,0.9545325693787938,64,64,0.9444734204727745,0.9551821250853831,0.9639846873222725
400,3,eta,0.9098688110993522,64,64,0.900414114961809,0.90866636377129,0.9209106922012029
400,4,eta,0.8660035396318386,64,64,0.8557173044881599,0.8649447482266222,0.8719700217341892
400,5,eta,0.8229298724509774,64,64,0.814111814745001,0.8226605986064945,0.8344341027261036
400,6,eta,0.7806470939332305,64,64,0.7699596647827419,0.7781909571168929,0.7869173148692479
400,7,eta,0.7391507710576983,64,64,0.7294410794066358,0.7415096723058423,0.7493067187575899
400,8,eta,0.69844402593106,64,64,0.6871155353624732,0.6984484503739126,0.7057286183622388
400,9,eta,0.6585252713788283,64,64,0.6473537488097653,0.6579112255353361,0.6702541391023333
400,10,eta,0.6194010516308507,64,64,0.6089496633692236,0.6174349658114824,0.6291267954130596
400,11,eta,0.5810798205152977,64,64,0.5702030596407645,0.5817781568441389,0.5917761536202824
400,12,eta,0.5435683791999358,64,64,0.5345258637962342,0.5437512428854212,0.5505975462535247
400,13,eta,0.5068727564954801,64,64,0.49711645659903286,0.5069437825154953,0.515079613366999
400,14,eta,0.4710124430491227,64,64,0.46297561303357043,0.4723716763233424,0.4821444366758297
400,15,eta,0.435998742277168,64,64,0.42771983408125797,0.4349261316401445,0.4456241634309349
25,1,rho_y,1,64,64,0.9674478583924441,0.9953877393919415,1.0334597350700934
25,2,rho_y,0.9994262568911194,64,64,0.9609461603949715,0.9908656769115153,1.0373515479246516
25,3,rho_y,0.9988518368892408,64,64,0.9580362833670742,1.0059002143817595,1.0435371935650235
25,4,rho_y,0.9982767289308473,64,64,0.9594474779238834,0.9875384961635459,1.0223303515172575
25,5,rho_y,0.9977009403521463,64,64,0.962221384258737,0.9950467356481203,1.0309561448300064
25,6,rho_y,0.9971244699758167,64,64,0.9707445099030917,0.9962551386008114,1.0366780359299534
25,7,rho_y,0.996547276538914,64,64,0.9567489029161919,0.9796707113792399,1.0179304533127587
25,8,rho_y,0.9959694063267447,64,64,0.9523462944478871,0.9868675430249865,1.0304681112259313
25,9,rho_y,0.9953908215585185,64,64,0.9729952276865965,1.0021017321794612,1.038643352459231
25,10,rho_y,0.9948115487537806,64,64,0.9513664762026594,0.9916875154758991,1.034547983653839
25,11,rho_y,0.9942315507810776,64,64,0.9555392483301071,0.9951218847135149,1.0345175610386241
25,12,rho_y,0.9936508390365448,64,64,0.95169604842957,0.9872431680305087,1.021534981215452
25,13,rho_y,0.9930693868714041,64,64,0.9458890267051362,0.9871811041073411,1.0319576847586458
25,14,rho_y,0.9924872319228272,64,64,0.9592294955805157,0.9918734083779168,1.038661376740872
25,15,rho_y,0.9919043651751838,64,64,0.9545285555479082,0.9941948501766409,1.0162133292124609
200,1,rho_y,0.9999999999999999,64,64,0.9878929718781315,0.9975672123645052,1.0093570644718342
200,2,rho_y,0.9953908215585185,64,64,0.9827451956353693,0.9953614635225874,1.0045128079531904
200,3,rho_y,0.9907364641047638,64,64,0.9792321739210672,0.99094632984115,1.0007778792405995
200,4,rho_y,0.986035601469925,64,64,0.9680515791155759,0.9843626335558027,0.9985346848895452
200,5,rho_y,0.9812863385725238,64,64,0.9683940492425738,0.9839606526270432,0.9963978365205167
200,6,rho_y,0.9764873466336866,64,64,0.964803649215105,0.9788061174421474,0.9898279771079261
200,7,rho_y,0.9716367440335444,64,64,0.9583415540061228,0.9703092453270032,0.9859561849460774
200,8,rho_y,0.9667324939162046,64,64,0.9506221078615928,0.96574614333454,0.9753927758501229
200,9,rho_y,0.9617729592245869,64,64,0.9438793937364433,0.9592797295870884,0.9712568861782197
200,10,rho_y,0.9567561743492958,64,64,0.9431011243538131,0.9560393851438329,0.9696327063151937
200,11,rho_y,0.9516800120394167,64,64,0.9339135776345556,0.9508254913669683,0.9608085514940193
200,12,rho_y,0.9465419480600218,64,64,0.9294336206977699,0.944366583282017,0.9615348190579104
200,13,rho_y,0.9413402057589555,64,64,0.9272182612625021,0.9415306005670956,0.9563184254656636
200,14,rho_y,0.9360723166311691,64,64,0.9199526081399679,0.9397927496003387,0.9513716827817205
200,15,rho_y,0.9307355810247993,64,64,0.9121215238147526,0.9268626813731157,0.9402857047165865
400,1,rho_y,1,64,64,0.9883553147562472,1.0001165166910233,1.0095832320752374
400,2,rho_y,0.9907364641047638,64,64,0.9821589465909542,0.9894604727567669,0.9979664795142612
400,3,rho_y,0.9812863385725239,64,64,0.9733691363729889,0.9828615346051596,0.9934856177664875
400,4,rho_y,0.9716367440335443,64,64,0.9661447387258318,0.973981067914754,0.982780580753681
400,5,rho_y,0.9617729592245869,64,64,0.9531059053943131,0.9632504598131968,0.9725942273722925
400,6,rho_y,0.9516800120394167,64,64,0.9420797280742595,0.9503283629686765,0.9599415105475319
400,7,rho_y,0.9413402057589553,64,64,0.9299053410175437,0.9424870911042191,0.9497694288790531
400,8,rho_y,0.9307355810247993,64,64,0.9217086770431335,0.9313813221587928,0.9394491200970628
400,9,rho_y,0.9198446464372407,64,64,0.9109141609095088,0.9214420687570375,0.9332874419127644
400,10,rho_y,0.908645308319298,64,64,0.8937021868984876,0.9077580645531573,0.9237345129512343
400,11,rho_y,0.8971130236351287,64,64,0.8873254939800442,0.8962579920926805,0.90999013973108
400,12,rho_y,0.8852192286894401,64,64,0.8708631989762652,0.8806726842342734,0.8932200020192574
400,13,rho_y,0.8729307376715647,64,64,0.8557940886675994,0.8725472698097135,0.8854961056837616
400,14,rho_y,0.8602139284194441,64,64,0.8458750009165311,0.8600325338206765,0.8753818037365545
400,15,rho_y,0.8470265898655532,64,64,0.8321434552422698,0.8492887843077112,0.85711825085559
