observable,quantity,draw_index,native_value,reporting_scale_value
y_c_um,q2,58,-0.69806208873501607,-1.0739416749769477
y_c_um,q2,59,-1.0238619176785293,-1.5751721810438912
y_c_um,q2,60,-2.071318563435617,-3.1866439437471032
y_c_um,q2,61,0.64445890119750626,0.99147523261154802
y_c_um,q2,62,-2.0019559927939832,-3.079932296606128
y_c_um,q2,63,0.42363838523671821,0.65175136190264338
y_c_um,delta_21,0,-0.016477254312866618,-0.025349622019794796
y_c_um,delta_21,1,-0.92834571553555922,-1.4282241777470142
y_c_um,delta_21,2,2.2971929998752585,3.5341430767311666
y_c_um,delta_21,3,1.8766687895428047,2.8871827531427763
y_c_um,delta_21,4,-0.17897221063251093,-0.27534186251155524
y_c_um,delta_21,5,-0.27689617903401847,-0.42599412159079764
y_c_um,delta_21,6,1.0777528871186726,1.6580813647979578
y_c_um,delta_21,7,-0.57516322218409233,-0.88486649566783426
y_c_um,delta_21,8,-1.800938777167908,-2.7706750417967814
y_c_um,delta_21,9,0.56508061124658693,0.86935478653321063
y_c_um,delta_21,10,0.71021845311073217,1.0926437740165109
y_c_um,delta_21,11,-0.07854241716432786,-0.12083448794511978
y_c_um,delta_21,12,0.401220899925679,0.617262922962583
y_c_um,delta_21,13,-0.95889495040270512,-1.4752230006195464
y_c_um,delta_21,14,-1.0145044924875721,-1.5607761422885724
y_c_um,delta_21,15,1.2846330404221766,1.9763585237264256
y_c_um,delta_21,16,2.5370490708381164,3.903152416674025
y_c_um,delta_21,17,2.4660895028558611,3.7939838505474786
y_c_um,delta_21,18,0.73738746620130124,1.1344422556943097
y_c_um,delta_21,19,0.3657292048451587,0.56266031514639803
y_c_um,delta_21,20,0.97309200154153797,1.4970646177562121
y_c_um,delta_21,21,-2.1474993772997504,-3.3038451958457697
y_c_um,delta_21,22,0.18152202634646653,0.27926465591764082
y_c_um,delta_21,23,-0.41152586860721002,-0.63311672093416926
y_c_um,delta_21,24,-2.5702930901536583,-3.9542970617748585
y_c_um,delta_21,25,0.8435065500338661,1.2977023846674862
y_c_um,delta_21,26,0.21666032672219238,0.33332357957260367
y_c_um,delta_21,27,-0.98043331058997973,-1.5083589393691996
y_c_um,delta_21,28,0.57565516744667844,0.8856233345333514
y_c_um,delta_21,29,-0.24712042500820808,-0.38018526924339702
y_c_um,delta_21,30,0.95005733950232407,1.4616266761574217
y_c_um,delta_21,31,0.79525120700156959,1.2234633953870302
y_c_um,delta_21,32,1.2602455637556242,1.9388393288548065
y_c_um,delta_21,33,-0.30523129310975533,-0.46958660478423897
y_c_um,delta_21,34,0.21533664421551069,0.3312871449469395
y_c_um,delta_21,35,1.716540836439719,2.640832056061106
y_c_um,delta_21,36,1.0318647505970577,1.5874842316877811
y_c_um,delta_21,37,1.1201798704617882,1.7233536468642896
y_c_um,delta_21,38,-0.27908488052970459,-0.42936135466108399
y_c_um,delta_21,39,-0.75223909974045133,-1.1572909226776174
y_c_um,delta_21,40,1.5267020240679376,2.348772344719904
y_c_um,delta_21,41,-1.6790723141309258,-2.5831881755860397
y_c_um,delta_21,42,0.65822594719158611,1.012655303371671
y_c_um,delta_21,43,1.0632379991771703,1.6357507679648773
y_c_um,delta_21,44,0.50231571977360701,0.77279341503631849
y_c_um,delta_21,45,-2.2297348183838159,-3.4303612590520243
y_c_um,delta_21,46,0.1832210327134679,0.28187851186687368
