method,state,display_label,duration_us,draw_id,eta_hat,eta_truth,d_peak_hat_um,d_peak_truth_um,nu_vp_hat,nu_vp_truth,nuisance_censored,d_peak_supported,nu_vp_supported
dgi,connected_modulated,SSP,100,12,1.070785417757122,1.0,2.788000112593,2.751540046488,0.6410426686457629,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,100,13,1.1447347455508667,1.0,2.754199170442,2.751540046488,0.6478645706958697,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,100,14,0.7863254805351525,1.0,2.747872333789,2.751540046488,0.6702046521506396,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,100,15,1.0088299794386621,1.0,2.7462470324595,2.751540046488,0.6093497121255169,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,100,16,0.8653768059977315,1.0,2.7248063487214997,2.751540046488,0.6648594223795146,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,100,17,0.8345166111527799,1.0,2.7646241516965,2.751540046488,0.6506180787848516,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,100,18,0.9752571208340478,1.0,2.7080290013905,2.751540046488,0.6984410759162711,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,100,19,0.9736687256275524,1.0,2.7574693841844997,2.751540046488,0.6403402856213747,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,100,20,0.9109299169615848,1.0,2.760994441305,2.751540046488,0.6555989571435337,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,100,21,1.0451306834641683,1.0,2.7094177607445,2.751540046488,0.6834513916220066,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,100,22,0.886908807005033,1.0,2.735923248941,2.751540046488,0.670897634550268,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,100,23,0.9443091158791083,1.0,2.7391597490104997,2.751540046488,0.6704526018395837,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,100,24,1.1545218623518454,1.0,2.746864169998,2.751540046488,0.6356650748681909,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,100,25,1.1021218364761052,1.0,2.7340107304725,2.751540046488,0.657411781192865,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,100,26,1.0101784161605132,1.0,2.7448427773445,2.751540046488,0.6293181346201923,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,100,27,0.9172588072387454,1.0,2.761391440407,2.751540046488,0.6373782124596745,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,100,28,1.1398553717449589,1.0,2.746370632771,2.751540046488,0.6024149213141003,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,100,29,0.968787332986805,1.0,2.753172186964,2.751540046488,0.653050971519159,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,100,30,1.1079591137538802,1.0,2.7469979475389996,2.751540046488,0.6440113972911606,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,100,31,0.9235024557832311,1.0,2.7326899905535003,2.751540046488,0.6462722009066989,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,100,32,0.9298196571209826,1.0,2.8004676942040003,2.751540046488,0.6295791634180394,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,100,33,1.1018416196841043,1.0,2.741861733085,2.751540046488,0.6116684708966066,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,100,34,1.0583157750300964,1.0,2.741722911151,2.751540046488,0.6174137499139494,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,100,35,0.9966962939854381,1.0,2.788035200081,2.751540046488,0.6454738666420117,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,100,36,0.8887759587606231,1.0,2.7432215835225,2.751540046488,0.6740648197137955,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,100,37,1.0166483554258405,1.0,2.7407867506284997,2.751540046488,0.6300825218826727,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,100,38,1.1228394101778587,1.0,2.7460617820985,2.751540046488,0.6373553117614963,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,100,39,1.2418556592719165,1.0,2.7690986220765,2.751540046488,0.6512974846524631,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,100,40,0.923728908159043,1.0,2.7361323456285,2.751540046488,0.6587900422068715,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,100,41,0.8271950208650392,1.0,2.6910348640195,2.751540046488,0.6844849593380264,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,100,42,1.0175292280048427,1.0,2.729420085281,2.751540046488,0.637029281193925,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,100,43,1.0764337294887893,1.0,2.6969783082355,2.751540046488,0.6729888548052614,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,100,44,0.8964233069421367,1.0,2.770947494256,2.751540046488,0.6410145563334606,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,100,45,1.0939408006175957,1.0,2.7277617779375003,2.751540046488,0.6669188041916558,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,100,46,1.0237197089177754,1.0,2.7563047999570003,2.751540046488,0.6329312044188083,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,100,47,0.8325597507835435,1.0,2.7500678954095,2.751540046488,0.6765955005562332,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,100,48,0.8836802836955799,1.0,2.752906258116,2.751540046488,0.6756754873300876,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,100,49,0.956149923012793,1.0,2.724457481392,2.751540046488,0.6443896601467998,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,100,50,1.127652742981915,1.0,2.7496739992535,2.751540046488,0.6370313480605023,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,100,51,1.0757629371508055,1.0,2.754311518456,2.751540046488,0.6172854620658828,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,100,52,0.810188379651038,1.0,2.750934021975,2.751540046488,0.6359657688786698,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,100,53,1.0559701218804673,1.0,2.745504033179,2.751540046488,0.6587738912561653,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,100,54,1.0465150846018172,1.0,2.740200187846,2.751540046488,0.6760151857602665,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,100,55,0.9626520498204743,1.0,2.721833288823,2.751540046488,0.65776283342536,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,100,56,1.1362308062954092,1.0,2.7367498122100002,2.751540046488,0.6452630196667231,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,100,57,0.8001134029306959,1.0,2.7532856264315,2.751540046488,0.665595470484478,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,100,58,0.8595381596080511,1.0,2.753984611951,2.751540046488,0.6618337121880237,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,100,59,1.1230899672727044,1.0,2.7226949949145,2.751540046488,0.633750643477779,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,100,60,0.9687871246446705,1.0,2.7585154110715,2.751540046488,0.6065710388200276,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,100,61,1.1544807037742004,1.0,2.7234530988055,2.751540046488,0.6510448332916001,0.6494770333465083,False,True,True
