method,duration_us,state,draw_id,role,role_id,frame_id,seed_tuple
dgi,25,connected_modulated,23,atom_stop,1,1,20260818;5301;25;1;1;23;1;1
dgi,25,connected_modulated,23,leakage_stop,2,0,20260818;5301;25;1;1;23;2;0
dgi,25,connected_modulated,23,stop_dark,3,0,20260818;5301;25;1;1;23;3;0
dgi,25,connected_modulated,23,open_reference,4,0,20260818;5301;25;1;1;23;4;0
dgi,25,connected_modulated,23,open_dark,5,0,20260818;5301;25;1;1;23;5;0
dgi,25,connected_modulated,24,atom_stop,1,1,20260818;5301;25;1;1;24;1;1
dgi,25,connected_modulated,24,leakage_stop,2,0,20260818;5301;25;1;1;24;2;0
dgi,25,connected_modulated,24,stop_dark,3,0,20260818;5301;25;1;1;24;3;0
dgi,25,connected_modulated,24,open_reference,4,0,20260818;5301;25;1;1;24;4;0
dgi,25,connected_modulated,24,open_dark,5,0,20260818;5301;25;1;1;24;5;0
dgi,25,connected_modulated,25,atom_stop,1,1,20260818;5301;25;1;1;25;1;1
dgi,25,connected_modulated,25,leakage_stop,2,0,20260818;5301;25;1;1;25;2;0
dgi,25,connected_modulated,25,stop_dark,3,0,20260818;5301;25;1;1;25;3;0
dgi,25,connected_modulated,25,open_reference,4,0,20260818;5301;25;1;1;25;4;0
dgi,25,connected_modulated,25,open_dark,5,0,20260818;5301;25;1;1;25;5;0
dgi,25,connected_modulated,26,atom_stop,1,1,20260818;5301;25;1;1;26;1;1
dgi,25,connected_modulated,26,leakage_stop,2,0,20260818;5301;25;1;1;26;2;0
dgi,25,connected_modulated,26,stop_dark,3,0,20260818;5301;25;1;1;26;3;0
dgi,25,connected_modulated,26,open_reference,4,0,20260818;5301;25;1;1;26;4;0
dgi,25,connected_modulated,26,open_dark,5,0,20260818;5301;25;1;1;26;5;0
dgi,25,connected_modulated,27,atom_stop,1,1,20260818;5301;25;1;1;27;1;1
dgi,25,connected_modulated,27,leakage_stop,2,0,20260818;5301;25;1;1;27;2;0
dgi,25,connected_modulated,27,stop_dark,3,0,20260818;5301;25;1;1;27;3;0
dgi,25,connected_modulated,27,open_reference,4,0,20260818;5301;25;1;1;27;4;0
dgi,25,connected_modulated,27,open_dark,5,0,20260818;5301;25;1;1;27;5;0
dgi,25,connected_modulated,28,atom_stop,1,1,20260818;5301;25;1;1;28;1;1
dgi,25,connected_modulated,28,leakage_stop,2,0,20260818;5301;25;1;1;28;2;0
dgi,25,connected_modulated,28,stop_dark,3,0,20260818;5301;25;1;1;28;3;0
dgi,25,connected_modulated,28,open_reference,4,0,20260818;5301;25;1;1;28;4;0
dgi,25,connected_modulated,28,open_dark,5,0,20260818;5301;25;1;1;28;5;0
dgi,25,connected_modulated,29,atom_stop,1,1,20260818;5301;25;1;1;29;1;1
dgi,25,connected_modulated,29,leakage_stop,2,0,20260818;5301;25;1;1;29;2;0
dgi,25,connected_modulated,29,stop_dark,3,0,20260818;5301;25;1;1;29;3;0
dgi,25,connected_modulated,29,open_reference,4,0,20260818;5301;25;1;1;29;4;0
dgi,25,connected_modulated,29,open_dark,5,0,20260818;5301;25;1;1;29;5;0
dgi,25,connected_modulated,30,atom_stop,1,1,20260818;5301;25;1;1;30;1;1
dgi,25,connected_modulated,30,leakage_stop,2,0,20260818;5301;25;1;1;30;2;0
dgi,25,connected_modulated,30,stop_dark,3,0,20260818;5301;25;1;1;30;3;0
dgi,25,connected_modulated,30,open_reference,4,0,20260818;5301;25;1;1;30;4;0
dgi,25,connected_modulated,30,open_dark,5,0,20260818;5301;25;1;1;30;5;0
dgi,25,connected_modulated,31,atom_stop,1,1,20260818;5301;25;1;1;31;1;1
dgi,25,connected_modulated,31,leakage_stop,2,0,20260818;5301;25;1;1;31;2;0
dgi,25,connected_modulated,31,stop_dark,3,0,20260818;5301;25;1;1;31;3;0
dgi,25,connected_modulated,31,open_reference,4,0,20260818;5301;25;1;1;31;4;0
dgi,25,connected_modulated,31,open_dark,5,0,20260818;5301;25;1;1;31;5;0
dgi,25,connected_modulated,32,atom_stop,1,1,20260818;5301;25;1;1;32;1;1
dgi,25,connected_modulated,32,leakage_stop,2,0,20260818;5301;25;1;1;32;2;0
dgi,25,connected_modulated,32,stop_dark,3,0,20260818;5301;25;1;1;32;3;0
dgi,25,connected_modulated,32,open_reference,4,0,20260818;5301;25;1;1;32;4;0
dgi,25,connected_modulated,32,open_dark,5,0,20260818;5301;25;1;1;32;5;0
dgi,25,connected_modulated,33,atom_stop,1,1,20260818;5301;25;1;1;33;1;1
dgi,25,connected_modulated,33,leakage_stop,2,0,20260818;5301;25;1;1;33;2;0
dgi,25,connected_modulated,33,stop_dark,3,0,20260818;5301;25;1;1;33;3;0
dgi,25,connected_modulated,33,open_reference,4,0,20260818;5301;25;1;1;33;4;0
dgi,25,connected_modulated,33,open_dark,5,0,20260818;5301;25;1;1;33;5;0
dgi,25,connected_modulated,34,atom_stop,1,1,20260818;5301;25;1;1;34;1;1
dgi,25,connected_modulated,34,leakage_stop,2,0,20260818;5301;25;1;1;34;2;0
dgi,25,connected_modulated,34,stop_dark,3,0,20260818;5301;25;1;1;34;3;0
dgi,25,connected_modulated,34,open_reference,4,0,20260818;5301;25;1;1;34;4;0
dgi,25,connected_modulated,34,open_dark,5,0,20260818;5301;25;1;1;34;5;0
dgi,25,connected_modulated,35,atom_stop,1,1,20260818;5301;25;1;1;35;1;1
dgi,25,connected_modulated,35,leakage_stop,2,0,20260818;5301;25;1;1;35;2;0
dgi,25,connected_modulated,35,stop_dark,3,0,20260818;5301;25;1;1;35;3;0
dgi,25,connected_modulated,35,open_reference,4,0,20260818;5301;25;1;1;35;4;0
dgi,25,connected_modulated,35,open_dark,5,0,20260818;5301;25;1;1;35;5;0
dgi,25,connected_modulated,36,atom_stop,1,1,20260818;5301;25;1;1;36;1;1
dgi,25,connected_modulated,36,leakage_stop,2,0,20260818;5301;25;1;1;36;2;0
dgi,25,connected_modulated,36,stop_dark,3,0,20260818;5301;25;1;1;36;3;0
dgi,25,connected_modulated,36,open_reference,4,0,20260818;5301;25;1;1;36;4;0
dgi,25,connected_modulated,36,open_dark,5,0,20260818;5301;25;1;1;36;5;0
dgi,25,connected_modulated,37,atom_stop,1,1,20260818;5301;25;1;1;37;1;1
dgi,25,connected_modulated,37,leakage_stop,2,0,20260818;5301;25;1;1;37;2;0
dgi,25,connected_modulated,37,stop_dark,3,0,20260818;5301;25;1;1;37;3;0
dgi,25,connected_modulated,37,open_reference,4,0,20260818;5301;25;1;1;37;4;0
dgi,25,connected_modulated,37,open_dark,5,0,20260818;5301;25;1;1;37;5;0
