draw_id,state,duration_us,start_id,start_eta,start_d_um,start_sigma_y_um,start_y0_um,optimizer_success,finite,converged,termination_status,termination_message,nfev_total,nfev_by_irls_pass_json,raw_objective,reduced_raw_objective,maximum_absolute_whitened_residual,eta_hat,d_hat_um,sigma_y_hat_um,y0_hat_um,active_physical_bounds,active_nuisance_bounds,fit_vector_json,runtime_seconds,jacobian_rank,jacobian_condition,morphology_rank_after_y0_and_nuisance_projection,morphology_projected_singular_values_json,physical_censored,nuisance_censored,topology_valid,d_peak_um,nu_vp,d_peak_conditional_sd_um,nu_vp_conditional_sd,d_peak_supported_local,nu_vp_supported_local
22,separated_droplets,100,1,0.6,2.2,0.4,0.0,true,true,true,2,`ftol` termination condition is satisfied.,15,"[10,5]",5727.501018980754,0.9490473933688077,3.6237619275706177,0.9854495746595685,2.815128883521983,0.5528743153768736,-0.020522950876924757,0,1,"[-0.014657320964236685,1.0350080450984516,-0.5926245810908206,-0.020522950876924757,1.0011653256400947,0.006635774383663885,1.9761491267075587e-23,1.0386822371149964]",9.803843799993047,8,79.93044192612399,3,"[219.03305475350186,97.22891084504991,38.970250418121616]",false,false,true,2.815120832529,0.07781038143325694,0.010416816831578725,0.007940641782835262,true,true
22,separated_droplets,100,2,1.3,3.4,1.15,0.0,true,true,true,2,`ftol` termination condition is satisfied.,13,"[9,4]",5727.5043177148345,0.949047939969318,3.623761938052106,0.9886355797696446,2.81522649306796,0.552366802687421,-0.020392055222571665,0,1,"[-0.011429488700618424,1.0350427177041603,-0.5935429557636913,-0.020392055222571665,1.001165324800316,0.00663791926184786,2.458872064299242e-25,1.0359370306622253]",8.534306499990635,8,80.60497762019118,3,"[220.41117959356978,97.9942073712155,38.60319700830059]",false,false,true,2.8152186384955,0.07733091264522707,0.010332906849626664,0.007883398093369806,true,true
22,separated_droplets,100,3,0.8,3.2,0.55,0.8,true,true,true,2,`ftol` termination condition is satisfied.,17,"[12,5]",5727.442836716033,0.9490377525627229,3.6237619381341584,0.9894099544382159,2.815698579087416,0.5519397107214795,-0.02028644536243576,0,1,"[-0.010646519153416694,1.0352103938904043,-0.594316458377413,-0.02028644536243576,1.001165324793742,0.006654526553530254,1.6772162202944923e-27,1.0355318463094363]",11.480580500006909,8,79.46823947601422,3,"[228.46452696306758,102.786440921368,39.01431415823151]",false,false,true,2.8156909131185,0.07685942400382076,0.010024622567819955,0.007501248903885935,true,true
22,separated_droplets,100,4,1.2,2.4,1.0,-0.8,true,true,true,2,`ftol` termination condition is satisfied.,15,"[11,4]",5727.430288178948,0.9490356732690883,3.6237619234341456,0.9875485960949866,2.8151247001599433,0.5526095944136553,-0.020509322409889053,0,1,"[-0.012529572182263776,1.0350065590687452,-0.5931035043314642,-0.020509322409889053,1.0011653259715096,0.00664632746953239,3.6048847732796575e-22,1.0368087725093478]",9.57337450000341,8,80.41517453197721,3,"[218.39242088379518,96.82405492344567,38.63799187614948]",false,false,true,2.815116748275,0.07756993132457157,0.010435301707116814,0.00796862513809096,true,true
23,separated_droplets,100,0,1.0,2.8,0.75,0.0,true,true,true,2,`ftol` termination condition is satisfied.,11,"[8,3]",5803.144405526222,0.9615815087864493,3.6974849319526597,1.0108234743269073,2.8212202832658066,0.5644186409802292,-0.018569028802666143,0,0,"[0.010765319775207737,1.0371695159140921,-0.5719590315895886,-0.018569028802666143,0.9956673381456467,0.014118819119380985,0.001556382460024556,1.0086291547262016]",7.4881962000072235,8,78.35182007113922,3,"[219.52836007075368,101.47864451644672,38.60030256627414]",false,false,true,2.821207360732,0.0875295777704793,0.010458661450065193,0.008342693167862144,true,true
23,separated_droplets,100,1,0.6,2.2,0.4,0.0,true,true,true,2,`ftol` termination condition is satisfied.,21,"[16,5]",5802.923284244896,0.9615448689718138,3.6973879851464364,1.0097291690798318,2.8213984242929024,0.5645381634695377,-0.018677418606171548,0,0,"[0.009682145468773332,1.0372326571739885,-0.571747291885671,-0.018677418606171548,0.995667336944476,0.01415262095200869,0.0015563831605800282,1.009541292479275]",12.847492299988517,8,77.75408951965403,3,"[217.6539470915985,100.38287227561835,38.76186144357549]",false,false,true,2.821385452876,0.08761081449164757,0.010507866975632798,0.008460864978347464,true,true
23,separated_droplets,100,2,1.3,3.4,1.15,0.0,true,true,true,2,`ftol` termination condition is satisfied.,14,"[10,4]",5803.121601931609,0.9615777302289327,3.6974881139349485,1.0109268721349953,2.821297391861135,0.5645168960214387,-0.018575974256289252,0,0,"[0.010867605211546687,1.0371968471870354,-0.5717849648900523,-0.018575974256289252,0.9956673369405638,0.01411934984687621,0.0015563828906078024,1.008455565459033]",8.95278920000419,8,78.31639948230789,3,"[220.96861647388815,102.6080506135801,38.59404955736147]",false,false,true,2.8212844215125,0.08760979568881491,0.010404251397800383,0.008270547119620046,true,true
23,separated_droplets,100,3,0.8,3.2,0.55,0.8,true,true,true,2,`ftol` termination condition is satisfied.,13,"[9,4]",5803.292032780251,0.9616059706346729,3.697565663008484,1.0102644766902003,2.8216402503353284,0.5648587301812494,-0.017923894404470845,0,0,"[0.010212154683426516,1.0373183649128566,-0.5711796141771123,-0.017923894404470845,0.9956673390667357,0.014079403148803597,0.0015563819667893137,1.0088570096802472]",8.269102499994915,8,78.31758642062016,3,"[220.38840080522198,102.9416818145731,38.49190221094746]",false,false,true,2.8216271207565002,0.0878746531933002,0.010531482109406581,0.008212704973713446,true,true
23,separated_droplets,100,4,1.2,2.4,1.0,-0.8,true,true,true,2,`ftol` termination condition is satisfied.,14,"[10,4]",5803.015445896925,0.9615601401651905,3.6974275078337278,1.0109839571361574,2.8208814048186697,0.5644175011618424,-0.01895198270046034,0,0,"[0.010924071600025344,1.0370493910151524,-0.5719610510472305,-0.01895198270046034,0.9956673359298355,0.014147289202012603,0.0015563835735433482,1.0084293719717035]",8.984866699989652,8,78.2337993612829,3,"[224.57367068696365,104.75989673716727,38.65716311411682]",false,false,true,2.8208684456535,0.08759414021278031,0.010221756823451968,0.008147101723407742,true,true
24,separated_droplets,100,0,1.0,2.8,0.75,0.0,true,true,true,2,`ftol` termination condition is satisfied.,12,"[8,4]",6056.664691408713,1.0035898411613444,4.3645102453266995,1.0169104207469069,2.793904186754466,0.5655424225735458,-0.0012566512431561332,0,0,"[0.016769031325539512,1.0274399677465778,-0.569969968426137,-0.0012566512431561332,0.999712790386287,0.009222338641919028,0.0002983776273881092,0.9551692134373257]",8.139354200000525,8,76.27059873813106,3,"[212.63494569274766,99.90911267288939,38.110407196902905]",false,false,true,2.7938870939755,0.09409390267260184,0.010735850924949882,0.008881452631960073,true,true
